clave,descripcion,aplica_fisica,aplica_moral,vigencia_inicio,vigencia_fin
601,"General de Ley Personas Morales",false,true,2022-01-01,
603,"Personas Morales con Fines no Lucrativos",false,true,2022-01-01,
605,"Sueldos y Salarios e Ingresos Asimilados a Salarios",true,false,2022-01-01,
606,Arrendamiento,true,false,2022-01-01,
607,"Régimen de Enajenación o Adquisición de Bienes",true,false,2022-01-01,
608,"Demás ingresos",true,false,2022-01-01,
610,"Residentes en el Extranjero sin Establecimiento Permanente en México",true,true,2022-01-01,
611,"Ingresos por Dividendos (socios y accionistas)",true,false,2022-01-01,
612,"Personas Físicas con Actividades Empresariales y Profesionales",true,false,2022-01-01,
614,"Ingresos por intereses",true,false,2022-01-01,
615,"Régimen de los ingresos por obtención de premios",true,false,2022-01-01,
616,"Sin obligaciones fiscales",true,false,2022-01-01,
620,"Sociedades Cooperativas de Producción que optan por diferir sus ingresos",false,true,2022-01-01,
621,"Incorporación Fiscal",true,false,2022-01-01,
622,"Actividades Agrícolas, Ganaderas, Silvícolas y Pesqueras",false,true,2022-01-01,
623,"Opcional para Grupos de Sociedades",false,true,2022-01-01,
624,Coordinados,false,true,2022-01-01,
625,"Régimen de las Actividades Empresariales con ingresos a través de Plataformas Tecnológicas",true,false,2022-01-01,
626,"Régimen Simplificado de Confianza",true,true,2022-01-01,
